,flow,src,src_port,dst,dst_port,feduration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,std_fiat,std_biat,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowPktsPerSecond,flowBytesPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,avgPacketSize,fAvgSegmentSize,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bAvgSegmentSize,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,label
0,100_192.168.1.20_192.168.1.13_49259_2404_TCP_c_rp_na_1_normal,192.168.1.20,49259,192.168.1.13,2404,0.005556822,3,0,264,0,88,0,88,0,88.0,,0.0,,0.005556821823120117,0.0,0.0027685165405273438,0,0.0027883052825927734,0.0027883052825927734,0.0027784109115600586,,1.3992753705616818e-05,,3,0,0,0,0,0,539.8769296551158,0.0,539.8769296551158,47509.169809650186,88,88,88.0,0.0,0.0027685165405273438,0.0027883052825927734,0.0027784109115600586,1.3992753705616818e-05,0,0,0,3,3,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.13_49528_2404_TCP_c_se_na_1_normal,192.168.1.20,49528,192.168.1.13,2404,1.0,1,0,88,0,88,0,88,0,88.0,,,,0.0,0.0,1716677803.1596236,0,1716677803.1596236,1716677803.1596236,,,,,1,0,0,0,0,0,1.0,1.0,1.0,88.0,88,88,88.0,,0.0,0.0,,,0,0,0,1,1,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.13_49672_2404_TCP_c_sc_na_1_DoS_normal,192.168.1.20,49672,192.168.1.13,2404,1.0,1,0,88,0,88,0,88,0,88.0,,,,0.0,0.0,1716677803.4813285,0,1716677803.4813285,1716677803.4813285,,,,,1,0,0,0,0,0,1.0,1.0,1.0,88.0,88,88,88.0,,0.0,0.0,,,0,0,0,1,1,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.13_49729_2404_TCP_c_sc_na_1_normal,192.168.1.20,49729,192.168.1.13,2404,1.0,1,0,88,0,88,0,88,0,88.0,,,,0.0,0.0,1716677803.8008423,0,1716677803.8008423,1716677803.8008423,,,,,1,0,0,0,0,0,1.0,1.0,1.0,88.0,88,88,88.0,,0.0,0.0,,,0,0,0,1,1,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.13_49752_2404_TCP_c_rd_na_1_normal,192.168.1.20,49752,192.168.1.13,2404,1.0,1,0,88,0,88,0,88,0,88.0,,,,0.0,0.0,1716677804.1181874,0,1716677804.1181874,1716677804.1181874,,,,,1,0,0,0,0,0,1.0,1.0,1.0,88.0,88,88,88.0,,0.0,0.0,,,0,0,0,1,1,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.13_50412_2404_TCP_c_rp_na_1_DoS_normal,192.168.1.20,50412,192.168.1.13,2404,0.010842562,5,0,440,0,88,0,88,0,88.0,,0.0,,0.010842561721801758,0.0,0.0024886131286621094,0,0.002910137176513672,0.002910137176513672,0.0027106404304504395,,0.0001947412698453896,,5,0,0,0,0,0,461.14562222471034,0.0,461.14562222471034,40580.81475577451,88,88,88.0,0.0,0.0024886131286621094,0.002910137176513672,0.0027106404304504395,0.0001947412698453896,0,0,0,5,5,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.13_50711_2404_TCP_c_rd_na_1_DoS_normal,192.168.1.20,50711,192.168.1.13,2404,0.010860205,5,0,440,0,88,0,88,0,88.0,,0.0,,0.010860204696655273,0.0,0.0024352073669433594,0,0.003025531768798828,0.003025531768798828,0.0027150511741638184,,0.00031061017632452243,,5,0,0,0,0,0,460.39646581256983,0.0,460.39646581256983,40514.888991506145,88,88,88.0,0.0,0.0024352073669433594,0.003025531768798828,0.0027150511741638184,0.00031061017632452243,0,0,0,5,5,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.19_49262_2404_TCP_c_rp_na_1_normal,192.168.1.20,49262,192.168.1.19,2404,0.005309104,3,0,264,0,88,0,88,0,88.0,,0.0,,0.005309104919433594,0.0,0.0025877952575683594,0,0.0027213096618652344,0.0027213096618652344,0.002654552459716797,,9.440894066440263e-05,,3,0,0,0,0,0,565.0670998345483,0.0,565.0670998345483,49725.90478544025,88,88,88.0,0.0,0.0025877952575683594,0.0027213096618652344,0.002654552459716797,9.440894066440263e-05,0,0,0,3,3,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.19_49369_2404_TCP_c_se_na_1_DoS_normal,192.168.1.20,49369,192.168.1.19,2404,0.013104199,6,0,528,0,88,0,88,0,88.0,,0.0,,0.01310420036315918,0.0,0.00247955322265625,0,0.0028581619262695312,0.0028581619262695312,0.002620840072631836,,0.0001615225255891543,,6,0,0,0,0,0,457.8685045915435,0.0,457.8685045915435,40292.42840405583,88,88,88.0,0.0,0.00247955322265625,0.0028581619262695312,0.002620840072631836,0.0001615225255891543,0,0,0,6,6,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.19_49413_2404_TCP_c_ci_na_1_DoS_normal,192.168.1.20,49413,192.168.1.19,2404,0.005213976,3,0,264,0,88,0,88,0,88.0,,0.0,,0.00521397590637207,0.0,0.0024907588958740234,0,0.002723217010498047,0.002723217010498047,0.002606987953186035,,0.00016437270919248672,,3,0,0,0,0,0,575.3766415495583,0.0,575.3766415495583,50633.14445636113,88,88,88.0,0.0,0.0024907588958740234,0.002723217010498047,0.002606987953186035,0.00016437270919248672,0,0,0,3,3,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.19_49529_2404_TCP_c_se_na_1_normal,192.168.1.20,49529,192.168.1.19,2404,1.0,1,0,88,0,88,0,88,0,88.0,,,,0.0,0.0,1716677806.2149696,0,1716677806.2149696,1716677806.2149696,,,,,1,0,0,0,0,0,1.0,1.0,1.0,88.0,88,88,88.0,,0.0,0.0,,,0,0,0,1,1,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.19_49670_2404_TCP_c_sc_na_1_DoS_normal,192.168.1.20,49670,192.168.1.19,2404,1.0,1,0,88,0,88,0,88,0,88.0,,,,0.0,0.0,1716677806.539675,0,1716677806.539675,1716677806.539675,,,,,1,0,0,0,0,0,1.0,1.0,1.0,88.0,88,88,88.0,,0.0,0.0,,,0,0,0,1,1,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.19_49732_2404_TCP_c_sc_na_1_normal,192.168.1.20,49732,192.168.1.19,2404,0.006042481,3,0,264,0,88,0,88,0,88.0,,0.0,,0.00604248046875,0.0,0.0027151107788085938,0,0.0033273696899414062,0.0033273696899414062,0.003021240234375,,0.0004329324279039035,,3,0,0,0,0,0,496.4848048343057,0.0,496.4848048343057,43690.6628254189,88,88,88.0,0.0,0.0027151107788085938,0.0033273696899414062,0.003021240234375,0.0004329324279039035,0,0,0,3,3,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
